  -9.00,  46.00,   648.6339,     0.0092,     1.2241,"     6.4764
"
  -8.00,  46.00,   647.7785,     0.0092,     1.1172,"     3.6659
"
  -7.00,  46.00,   647.7785,     0.0101,     1.2390,"     7.0873
"
  -6.00,  46.00,   640.5689,     0.2524,    27.9611,"     9.6535
"
  -5.00,  46.00,   640.8133,     0.2350,    26.2076,"     9.6535
"
  -4.00,  46.00,   640.4467,     0.2304,    25.5771,"     9.5313
"
  -3.00,  46.00,   640.3245,     0.2505,    28.1583,"     9.6535
"
  -2.00,  46.00,   640.4467,     0.2423,    27.4628,"     9.8979
"
  -1.00,  46.00,   640.4467,     0.2148,    24.5868,"     9.8979
"
   0.00,  46.00,   640.4467,     0.2118,    24.0173,"     9.6535
"
   1.00,  46.00,   640.4467,     0.2118,    23.8010,"     9.6535
"
   2.00,  46.00,   640.3245,     0.2753,    30.9354,"     9.6535
"
   3.00,  46.00,   640.4467,     0.2252,    25.0153,"     9.6535
"
   4.00,  46.00,   640.2023,     0.2646,    29.6457,"     9.8979
"
   5.00,  46.00,   640.4467,     0.2676,    29.9405,"     9.6535
"
   6.00,  46.00,   640.4467,     0.2271,    25.4355,"     9.6535
"
   7.00,  46.00,   651.2000,     0.0131,     1.5280,"     8.1872
"
   8.00,  46.00,   649.6115,     0.0104,     1.0855,"     4.6434
"
   9.00,  46.00,   649.6115,     0.0061,     0.5872,"     0.4888
"
  10.00,  46.00,   638.4916,     0.0018,     0.1123,"     0.1222
"
  11.00,  46.00,   639.3469,     0.0027,     0.0433,"     0.1222
"
  12.00,  46.00,   630.0600,     0.0031,     0.0421,"     0.1222
"
  13.00,  46.00,   620.7731,     0.0027,     0.0250,"     0.2444
"
  14.00,  46.00,   620.4065,     0.0027,     0.0162,"     0.1222
"
  15.00,  46.00,   635.5588,     0.0034,     0.0406,"     0.2444
"
  16.00,  46.00,   636.5364,     0.0031,     0.0433,"     0.2444
"
  17.00,  46.00,   640.4467,     0.0024,    -0.0052,"     0.1222
"
 -20.00,  45.00,   620.4065,     0.0024,     0.0275,"     0.1222
"
 -19.00,  45.00,   604.6432,     0.0024,     0.0229,"     0.2444
"
 -18.00,  45.00,   620.6509,     0.0031,     0.0406,"     0.2444
"
 -17.00,  45.00,   635.5588,     0.0031,     0.0330,"     0.3666
"
 -16.00,  45.00,   613.3192,     0.0031,     0.0537,"     0.2444
"
 -15.00,  45.00,   639.2247,     0.0021,     0.0494,"     0.2444
"
 -14.00,  45.00,   643.9904,     0.0049,     0.4907,"     0.6110
"
 -13.00,  45.00,   643.9904,     0.0052,     0.5322,"     0.4888
"
 -12.00,  45.00,   643.9904,     0.0067,     0.6854,"     0.3666
"
 -11.00,  45.00,   640.3245,     0.3009,    33.2031,"     9.5313
"
 -10.00,  45.00,   639.9579,     0.2972,    33.0295,"     9.4091
"
  -9.00,  45.00,   640.9355,     0.2664,    29.6860,"     9.5313
"
  -8.00,  45.00,   640.4467,     0.2734,    30.3842,"     9.4091
"
  -7.00,  45.00,   640.4467,     0.2560,    28.4940,"     9.7757
"
  -6.00,  45.00,   635.5588,     0.5051,    54.7092,"     9.5313
"
  -5.00,  45.00,   635.4366,     0.4962,    53.4540,"     9.4091
"
  -4.00,  45.00,   635.5588,     0.4776,    51.5662,"     9.4091
"
  -3.00,  45.00,   635.6810,     0.5081,    54.9075,"     9.4091
"
  -2.00,  45.00,   635.5588,     0.4916,    53.0685,"     9.4091
"
  -1.00,  45.00,   635.5588,     0.4724,    50.8994,"     9.5313
"
   0.00,  45.00,   635.8032,     0.5597,    60.3058,"     9.4091
"
   1.00,  45.00,   635.5588,     0.5466,    58.8248,"     9.4091
"
   2.00,  45.00,   635.5588,     0.5676,    61.2027,"     9.5313
"
   3.00,  45.00,   635.4366,     0.5319,    57.4164,"     9.4091
"
   4.00,  45.00,   635.5588,     0.5151,    55.5817,"     9.4091
"
   5.00,  45.00,   635.5588,     0.5533,    59.6173,"     9.4091
"
   6.00,  45.00,   635.4366,     0.6290,    67.9248,"     9.4091
"
   7.00,  45.00,   640.4467,     0.2402,    26.9244,"     9.6535
"
   8.00,  45.00,   639.9579,     0.2045,    22.5308,"     9.4091
"
   9.00,  45.00,   639.9579,     0.2106,    22.8738,"     9.2869
"
  10.00,  45.00,   639.3469,     0.1700,    18.1763,"     8.9203
"
  11.00,  45.00,   638.3694,     0.0928,    10.0638,"     9.1647
"
  12.00,  45.00,   620.4065,     0.0024,     0.0360,"     0.3666
"
  13.00,  45.00,   636.5364,     0.0031,     0.0635,"     0.2444
"
  14.00,  45.00,   640.4467,     0.0027,     0.0766,"     0.2444
"
  15.00,  45.00,   620.4065,     0.0021,     0.0360,"     0.2444
"
  16.00,  45.00,   647.7785,     0.0027,     0.0201,"     0.1222
"
  17.00,  45.00,   630.0600,     0.0037,     0.0278,"     0.2444
"
  18.00,  45.00,   620.4065,     0.0034,     0.0302,"     0.1222
"
  19.00,  45.00,   608.6757,     0.0027,     0.0021,"     0.2444
"
  20.00,  45.00,   613.3192,     0.0031,     0.0394,"     0.2444
"
 -22.00,  44.00,   599.3887,     0.0381,     0.0381,"     0.2444
"
 -21.00,  44.00,   640.4467,     0.0021,    -0.0143,"     0.2444
"
 -20.00,  44.00,   620.4065,     0.0021,     0.0146,"     0.0000
"
 -19.00,  44.00,   620.4065,     0.0021,     0.0064,"     0.0000
"
